"","sigpe","sigpb","ncase","rho","rel","rpe.cor","p.pe","sig.pe","rpb.cor","p.pb","sig.pb","sigpe.1","sigpb.1","x"
"88",1,1,20,0.6,0.5,0.614553721968838,0.00742190890709769,1,0.576682020854142,0.013169232072355,1,1,1,15
"89",0,0,20,0.7,0.5,0.243280400432327,0.338034990879318,0,0.178325418034703,0.482093400676541,0,0,0,57
"90",1,0,20,0.7,0.5,0.523055446006226,0.0208345838623226,1,0.3331973493119,0.164307412196831,0,1,0,20
"91",0,1,20,0.7,0.5,0.35531287927775,0.136509753061989,0,0.515081543856772,0.0230222452084606,1,0,1,8
"92",1,1,20,0.7,0.5,0.541422646448268,0.0225512540808932,1,0.540553326380293,0.019319000389589,1,1,1,15
"93",0,0,20,0,0.6,0.050408161620486,0.533544744264968,0,0.0476967837667231,0.548567730954378,0,0,0,92
"94",1,0,20,0,0.6,0.314580851470025,0.0293768943647602,1,0.211958428999581,0.147651521941663,0,1,0,5
"95",0,1,20,0,0.6,0.39875677637438,0.0815875533017834,0,0.472917600300722,0.0352164681079807,1,0,1,1
"96",1,1,20,0,0.6,-0.11444094477536,0.0178049868412892,1,-0.0335085626448274,0.0223287325247098,1,1,1,2
"97",0,0,20,0.1,0.6,0.0410608490897893,0.514065617982011,0,0.0289933661662947,0.532347691173022,0,0,0,95
"98",1,0,20,0.1,0.6,0.509152538754415,0.0231484505792036,1,0.344185251910362,0.163183071124026,0,1,0,2
"99",0,1,20,0.1,0.6,0.0389749794791428,0.0856581168342665,0,-0.00777186038256053,0.0241551832396449,1,0,1,2
"100",1,1,20,0.1,0.6,0.507374532262092,0.0224000144539056,1,0.480561105276889,0.0319724466940705,1,1,1,1
"101",0,0,20,0.2,0.6,0.114570422880289,0.46190005622555,0,0.103943141014685,0.486589292377719,0,0,0,90
"102",1,0,20,0.2,0.6,0.548776651884766,0.0169543744670879,1,0.395200878560613,0.0994599510581567,0,1,0,3
"103",0,1,20,0.2,0.6,0.141538471130552,0.157346511053104,0,0.25129406811889,0.0228635471666247,1,0,1,4
"104",1,1,20,0.2,0.6,0.167631123146395,0.00736991398392453,1,0.149131173454873,0.0245232705402616,1,1,1,3
"105",0,0,20,0.3,0.6,0.133510036834579,0.431029360609356,0,0.105843683148643,0.448263825788928,0,0,0,86
"106",1,0,20,0.3,0.6,0.489161949291039,0.0298203358337951,1,0.313752228741008,0.200977411860476,0,1,0,9
"107",0,1,20,0.3,0.6,0.377952310090653,0.103969384308068,0,0.45706963441343,0.0428851078008778,1,0,1,2
