"","sigpe","sigpb","ncase","rho","rel","rpe.cor","p.pe","sig.pe","rpb.cor","p.pb","sig.pb","sigpe.1","sigpb.1","x"
"1",0,0,20,0,0.3,0.0318209023175169,0.544351412806547,0,0.0244360544975311,0.528830285606749,0,0,0,99
"2",0,1,20,0,0.3,-0.418463957395372,0.0663213030867132,0,-0.452696796134956,0.0450409141649042,1,0,1,1
"3",0,0,20,0.1,0.3,0.0441544247627376,0.51870677741685,0,0.017124232140707,0.513533518192044,0,0,0,95
"4",1,0,20,0.1,0.3,0.182913005171941,0.0342597233646712,1,0.175490824033713,0.231560059894742,0,1,0,3
"5",0,1,20,0.1,0.3,-0.042785799376816,0.143109907402803,0,0.0261476241892135,0.0335693513669985,1,0,1,2
"6",0,0,20,0.2,0.3,0.0368694564896829,0.505917384877006,0,0.0295800907029661,0.51184745390011,0,0,0,88
"7",1,0,20,0.2,0.3,0.547485385745793,0.0185846272928804,1,0.304880358085883,0.215522024736445,0,1,0,4
"8",0,1,20,0.2,0.3,-0.0598396245997704,0.230681841252086,0,-0.0915433130722994,0.0394412205149736,1,0,1,5
"9",1,1,20,0.2,0.3,0.514585964568288,0.0204878765597558,1,0.514102538865794,0.0302499379132571,1,1,1,3
"10",0,0,20,0.3,0.3,0.0623559118621182,0.515051613169478,0,0.0588714510337986,0.528527731666437,0,0,0,87
"11",1,0,20,0.3,0.3,0.288128928899963,0.0371655261768875,1,0.204386784558375,0.124454457488123,0,1,0,5
"12",0,1,20,0.3,0.3,0.226164596299269,0.127954990019797,0,0.377075695486711,0.0155943472502759,1,0,1,5
"13",1,1,20,0.3,0.3,0.576112614837144,0.0148239116537641,1,0.61355231351087,0.013705718450371,1,1,1,3
"14",0,0,20,0.4,0.3,0.0825685320278833,0.515739899714885,0,0.0852517215895099,0.525466986971425,0,0,0,91
"15",1,0,20,0.4,0.3,0.507822654592931,0.0237127464596459,1,0.383135682073169,0.0956263102381856,0,1,0,2
"16",0,1,20,0.4,0.3,0.292480432267243,0.227357348825293,0,0.468010415967657,0.0382148777907965,1,0,1,3
"17",1,1,20,0.4,0.3,0.301180873280204,0.0179762423825694,1,0.289348921702928,0.0128928507611974,1,1,1,4
"18",0,0,20,0.5,0.3,0.134770732834404,0.472232965526831,0,0.0962264708853884,0.546946613517977,0,0,0,84
