"","sigpe","sigpb","ncase","rho","rel","rpe.cor","p.pe","sig.pe","rpb.cor","p.pb","sig.pb","sigpe.1","sigpb.1","x"
"42",0,1,20,0.2,0.4,0.180481327238962,0.245165467635069,0,0.279168156873769,0.0283634661568649,1,0,1,5
"43",1,1,20,0.2,0.4,0.604755009378692,0.00473174742741733,1,0.46966810840352,0.0366708860489331,1,1,1,1
"44",0,0,20,0.3,0.4,0.0857105817932232,0.534632284255327,0,0.060795076284068,0.556798540913481,0,0,0,85
"45",1,0,20,0.3,0.4,0.523165726628726,0.018997955875125,1,0.327558548983905,0.174395659451996,0,1,0,4
"46",0,1,20,0.3,0.4,-0.0163693078752326,0.121561055008207,0,0.0132949614203161,0.0340534509004995,1,0,1,6
"47",1,1,20,0.3,0.4,0.31608506241956,0.0121345507974885,1,0.385222233743162,0.00556802492704442,1,1,1,5
"48",0,0,20,0.4,0.4,0.133400483679405,0.506739569966467,0,0.130820930880158,0.468100288961399,0,0,0,88
"49",1,0,20,0.4,0.4,0.522971912144161,0.0209414166481827,1,0.326356813735591,0.203736304076001,0,1,0,8
"50",0,1,20,0.4,0.4,0.280154703476645,0.231556294490245,0,0.538012093879448,0.0144077128571485,1,0,1,1
"51",1,1,20,0.4,0.4,0.593626731946676,0.00621310130975468,1,0.526014096455184,0.0172992038998496,1,1,1,3
"52",0,0,20,0.5,0.4,0.158193201494835,0.500547832332363,0,0.114971043243823,0.518425351436445,0,0,0,83
"53",1,0,20,0.5,0.4,0.515791193727548,0.0227020008531547,1,0.306786220532485,0.213437580221048,0,1,0,8
"54",0,1,20,0.5,0.4,0.336220544749003,0.156477395615791,0,0.504379136381734,0.0252941111652908,1,0,1,4
"55",1,1,20,0.5,0.4,0.533619581517686,0.0212581720527981,1,0.514231157775242,0.0241984528455834,1,1,1,5
"56",0,0,20,0.6,0.4,0.131685727123782,0.504426227820272,0,0.0922387987950497,0.522278746638759,0,0,0,75
"57",1,0,20,0.6,0.4,0.510258814584218,0.0260524309522596,1,0.316380071513673,0.219160269755857,0,1,0,8
"58",0,1,20,0.6,0.4,0.29395933613065,0.208060700659057,0,0.372000462116793,0.0348174288856754,1,0,1,9
"59",1,1,20,0.6,0.4,0.561548217308631,0.0178515378360879,1,0.570707983771259,0.012042428964915,1,1,1,8
"60",0,0,20,0.7,0.4,0.184607132107993,0.430123447107963,0,0.121102852905974,0.473510113272219,0,0,0,78
"61",1,0,20,0.7,0.4,0.517945260710724,0.0258561157600598,1,0.309047708370148,0.201564130998604,0,1,0,8
"62",0,1,20,0.7,0.4,0.340371198736089,0.153832588920594,0,0.483154642817544,0.0321200289313954,1,0,1,4
"63",1,1,20,0.7,0.4,0.544739021618937,0.0195340934285212,1,0.535301816833451,0.0202936853641997,1,1,1,10
"64",0,0,20,0,0.5,0.0106560020587684,0.529428256716775,0,-0.000669992626937782,0.554597942750665,0,0,0,93
"65",1,0,20,0,0.5,0.255262823453745,0.0211181051051718,1,0.0997727291338199,0.240839255958059,0,1,0,4
"66",0,1,20,0,0.5,0.101472565542631,0.178253206768343,0,0.0406979039764745,0.023590187531423,1,0,1,2
"67",1,1,20,0,0.5,0.463495777421947,0.0395617652666744,1,0.463548525036762,0.039536334519257,1,1,1,1
"68",0,0,20,0.1,0.5,0.0471253682044797,0.53694060315987,0,0.033476219669279,0.546163905573217,0,0,0,91
"69",1,0,20,0.1,0.5,0.566404045484789,0.009223591430497,1,0.203131523288199,0.390370659901268,0,1,0,1
"70",0,1,20,0.1,0.5,0.00684504520741355,0.164204909460635,0,0.0031402584234456,0.0295217010383854,1,0,1,4
"71",1,1,20,0.1,0.5,-0.0274187507714821,0.0087124205464143,1,-0.050820915830518,0.0102181793402424,1,1,1,4
"72",0,0,20,0.2,0.5,0.0681503587818731,0.523847087818855,0,0.0562814620799568,0.531353150839683,0,0,0,89
"73",1,0,20,0.2,0.5,0.547591085794776,0.0163720282099405,1,0.286591872057796,0.252686474453715,0,1,0,4
"74",0,1,20,0.2,0.5,0.172589895977444,0.138962460773608,0,0.293176132827881,0.0215157261660252,1,0,1,4
"75",1,1,20,0.2,0.5,0.59594735962665,0.0062888896510227,1,0.539407560705835,0.0155392468761052,1,1,1,3
"76",0,0,20,0.3,0.5,0.0753747319090687,0.492342202019033,0,0.0564731475081873,0.500829322555088,0,0,0,89
"77",1,0,20,0.3,0.5,0.480700846524848,0.0321097421342301,1,0.343389870274337,0.153259268917943,0,1,0,5
"78",0,1,20,0.3,0.5,0.327699356479158,0.182830106455679,0,0.52073291161346,0.021119818594692,1,0,1,3
"79",1,1,20,0.3,0.5,0.577434595616563,0.0148829714081736,1,0.633578666600704,0.00480223697547514,1,1,1,3
"80",0,0,20,0.4,0.5,0.141944230033696,0.461076161657018,0,0.11674665084782,0.467897707473358,0,0,0,86
"81",1,0,20,0.4,0.5,0.484168828329677,0.0311152328244884,1,0.265738533023648,0.279184055249372,0,1,0,5
"82",0,1,20,0.4,0.5,0.407172517754695,0.0747789805602725,0,0.512159824393313,0.0209612490772415,1,0,1,1
"83",1,1,20,0.4,0.5,0.565262263182765,0.0156006760456201,1,0.561762739757061,0.0154143615200796,1,1,1,8
"84",0,0,20,0.5,0.5,0.167589406292775,0.453588452763399,0,0.144313021497005,0.480240752754305,0,0,0,76
"85",1,0,20,0.5,0.5,0.533932825611471,0.0193786495889696,1,0.343850199786608,0.172338864591513,0,1,0,7
"86",0,1,20,0.5,0.5,0.384865237830866,0.0955689626497772,0,0.504546917252715,0.0247350352013841,1,0,1,4
"87",1,1,20,0.5,0.5,0.56177407878858,0.0148826666172272,1,0.549281831222981,0.0203404232376455,1,1,1,13
"88",0,0,20,0.6,0.5,0.230471371279691,0.36385956492626,0,0.153302479953938,0.515708116821967,0,0,0,64
"89",1,0,20,0.6,0.5,0.534139192269634,0.0202789709985797,1,0.359897206044034,0.143873581206076,0,1,0,12
"90",0,1,20,0.6,0.5,0.385367770250886,0.107664784341154,0,0.504931020894803,0.0263797236900373,1,0,1,13
"91",1,1,20,0.6,0.5,0.564500167726856,0.0167177601461472,1,0.556289730986731,0.01703106770653,1,1,1,11
"92",0,0,20,0.7,0.5,0.234222894261644,0.343832254255765,0,0.196482363090016,0.430224859262053,0,0,0,65
"93",1,0,20,0.7,0.5,0.50353261290423,0.0258226818999176,1,0.358888911927953,0.130218618986173,0,1,0,14
